title,brand,price,img_url,category,shelf_life,id
"Fab Face - With Vitamin E, Castor & Jojoba Oil",RENEE,750.0,https://www.bigbasket.com/media/uploads/p/l/40256017_1-renee-fab-face-diva-with-vitamin-e-castor-jojoba-oil.jpg,Beauty & Hygiene,520.0,1
"Ana Abiyedh Eau De Parfum - Imported, Long Lasting, Perfumed Body Spray, For Men & Women",Lattafa,2200.0,https://www.bigbasket.com/media/uploads/p/l/40251658_1-lattafa-ana-abiyedh-eau-de-parfum-imported-long-lasting-perfumed-body-spray-for-men-women.jpg,Beauty & Hygiene,520.0,2
"S.S Skimmer Serving Tong - Durable, Easy To Use, Dishwasher Safe",Elephant ,209.0,https://www.bigbasket.com/media/uploads/p/l/40219991_2-elephant-ss-skiler-serving-tong-durable-easy-to-use-dishwasher-safe.jpg,"Kitchen, Garden & Pets",,3
"Brihat Somnath Ras Tablets - For Women, Improves Gonorrhoea, Relieves Weakness",Basic Ayurveda,465.0,https://www.bigbasket.com/media/uploads/p/l/40215516_1-basic-ayurveda-brihat-somnath-ras-tablets-for-women-improves-gonorrhoea-relieves-weakness.jpg,Beauty & Hygiene,520.0,4
False Eyelash - 58,Beautiliss Professional,250.0,https://www.bigbasket.com/media/uploads/p/l/40223625_1-beautiliss-professional-false-eyelash-58.jpg,Beauty & Hygiene,520.0,5
Snack Plate Set - 5 Inch,Glass Ideas ,229.0,https://www.bigbasket.com/media/uploads/p/l/40207299_1-glass-ideas-snack-plate-set-5-inch.jpg,"Kitchen, Garden & Pets",,6
"Crispy Fish Finger - Crunchy Outside, Juicy Inside, With Natural Ingredients, No Preservatives",Fresho,362.0,https://www.bigbasket.com/media/uploads/p/l/40250798_1-fresho-crispy-fish-finger-crunchy-outside-juicy-inside-with-natural-ingredients-no-preservatives.jpg,"Eggs, Meat & Fish",60.0,7
"Hair/Rubber/Tie/Elastic/Pony Bands - Easy To Use, Medium, Brown, DP100202",Titania,229.0,https://www.bigbasket.com/media/uploads/p/l/40247408_1-titania-terry-ponyholder-dia-4-cm-mediumbrown-set-of-6-pcs.jpg,Beauty & Hygiene,520.0,8
Prime Spin Mop Bucket With Stainless Steel Wringer Refills,Milton - Spotzero,2999.0,https://www.bigbasket.com/media/uploads/p/l/40162952_3-milton-spotzero-prime-spin-mop-bucket-with-stainless-steel-wringer-refills.jpg,Cleaning & Household,730.0,9
Makeup Kit 9951-1,Miss Claire,495.0,https://www.bigbasket.com/media/uploads/p/l/40228101_1-miss-claire-makeup-kit-9951-1.jpg,Beauty & Hygiene,520.0,10
"Capsules - Biotino-5000, 5000 mcg, For Hair, Skin & Nails",Healthvit,420.0,https://www.bigbasket.com/media/uploads/p/l/40131833_4-healthvit-capsules-biotino-5000-5000-mcg-for-hair-skin-nails.jpg,Beauty & Hygiene,520.0,11
"Stainless Steel Dal/Gravy Laddle - Big, Classic Diana Series, BBKT29",BB Home,159.0,https://www.bigbasket.com/media/uploads/p/l/40190885_10-bb-home-stainless-steel-dalgravy-laddle-big-classic-diana-series-bbkt29.jpg,"Kitchen, Garden & Pets",,12
"Chyawan Yogue - Chyawanprash With Vitamin C, Immunity Booster, Sugar-Free",SIDDHAYU,325.0,https://www.bigbasket.com/media/uploads/p/l/40201481_1-baidyanath-nagpur-chyawan-yogue-sugar-free-chyawanprash-with-ilunity-booster.jpg,Beauty & Hygiene,520.0,13
"Gardening Tool Set - Trowel, Hand 3 Pong, Khurpi & Weeder, Lightweight Grip",DP,469.0,https://www.bigbasket.com/media/uploads/p/l/40246103_2-dp-gardening-tool-set-trowel-hand-3-pong-khurpi-weeder-lightweight-grip.jpg,"Kitchen, Garden & Pets",,14
"Women Deodorant, Protect & Care, Non-Irritating & 48h Protection With Creme Fragrance",Nivea,225.0,https://www.bigbasket.com/media/uploads/p/l/40079579_10-nivea-women-deodorant-protect-care-non-irritating-48h-protection-with-creme-fragrance.jpg,Beauty & Hygiene,520.0,15
"Hair Anti-Dandruff Shampoo, Scalp Purifying Factor",Kaya Clinic,290.0,https://www.bigbasket.com/media/uploads/p/l/40078442_3-kaya-clinic-anti-dandruff-shampoo.jpg,Beauty & Hygiene,520.0,16
Retinol Advanced Anti Aging Face Mist+Retinol Anti Aging Foaming Face Wash-120ml,StBotanica,994.0,https://www.bigbasket.com/media/uploads/p/l/1221061_1-stbotanica-retinol-advanced-anti-aging-face-mistretinol-anti-aging-foaming-face-wash-120ml.jpg,Beauty & Hygiene,520.0,17
"Exfoliating Walnut Scrub, No Harmful Chemicals",Everyuth Naturals,150.0,https://www.bigbasket.com/media/uploads/p/l/40007380_4-everyuth-naturals-exfoliating-walnut-scrub.jpg,Beauty & Hygiene,520.0,18
Cotton Mop With Telescopic Handle 150 Cm,YORK,620.0,https://www.bigbasket.com/media/uploads/p/l/40204226_2-york-cotton-mop-with-telescopic-handle-150-cm.jpg,Cleaning & Household,730.0,19
ColorStay Gel Envy Longwear Nail Enamel,Revlon,399.0,https://www.bigbasket.com/media/uploads/p/l/40124025_1-revlon-colorstay-gel-envy-longwear-nail-enamel.jpg,Beauty & Hygiene,520.0,20
"Farm Eggs - Brown, Medium, Antibiotic Residue-Free",Fresho,90.0,https://www.bigbasket.com/media/uploads/p/l/40038379_9-fresho-farm-eggs-brown-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",60.0,21
Green Peas,Yummiez,260.0,https://www.bigbasket.com/media/uploads/p/l/40003827_3-yuliez-green-peas.jpg,Snacks & Branded Foods,,22
Quinoa Muesli - With Nuts & Seeds,GoodDiet,389.0,https://www.bigbasket.com/media/uploads/p/l/40131422_10-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,Snacks & Branded Foods,,23
Mon Cherry Brightening Pink Clay Mask - Boosts Skin Radiance & Deep Cleanses,Quench Botanics,499.0,https://www.bigbasket.com/media/uploads/p/l/40241065_1-quench-botanics-mon-cherry-brightening-pink-clay-mask-boosts-skin-radiance-deep-cleanses.jpg,Beauty & Hygiene,520.0,24
"Steel Dinner Plate/Thali - No. 12, China",BB Home,709.0,https://www.bigbasket.com/media/uploads/p/l/40183399_6-bb-home-steel-dinner-platethali-no-12-china.jpg,"Kitchen, Garden & Pets",,25
"Club Eau De Perfume - Natural Spray, Long Lasting Fragrance",Max Collection,199.0,https://www.bigbasket.com/media/uploads/p/l/40244394_1-max-collection-club-eau-de-perfume-natural-spray-long-lasting-fragrance.jpg,Beauty & Hygiene,520.0,26
"6 Brown Eggs - Indian Breed - No - antibiotics,hormone, steroids - All Natural",HenFruit,120.0,https://www.bigbasket.com/media/uploads/p/l/40076080_3-hen-fruit-eggs-brown.jpg,"Eggs, Meat & Fish",60.0,27
Global Edition Perfume Spray For Men - Las Vegas Live,Set Wet,500.0,https://www.bigbasket.com/media/uploads/p/l/1208610_1-set-wet-global-edition-perfume-spray-for-men-las-vegas-live.jpg,Beauty & Hygiene,520.0,28
Super Lustrous Matte Lipstick,Revlon,699.0,https://www.bigbasket.com/media/uploads/p/l/40102843_5-revlon-super-lustrous-matte-lipstick.jpg,Beauty & Hygiene,520.0,29
100% Durum Wheat Pasta - Macaroni,HappyChef,155.0,https://www.bigbasket.com/media/uploads/p/l/40112466_8-happychef-durum-wheat-pasta-macaroni.jpg,Gourmet & World Food,,30
"No Added Sugar Protein Bar With Whey & Almond - Hazelnut, Provides Energy",Yoga Bar,125.0,https://www.bigbasket.com/media/uploads/p/l/40124232_6-yoga-bar-protein-bar-hazlenut-toffee.jpg,Gourmet & World Food,,31
Pulse Deodorant,Axe,630.0,https://www.bigbasket.com/media/uploads/p/l/1208792_2-axe-pulse-deodorant.jpg,Beauty & Hygiene,520.0,32
"Soft Light Moisturizer - With Vitamin E & Jojoba Oil, For Face, Hand & Body, Instant Hydration, Non-greasy Cream",Nivea,399.0,https://www.bigbasket.com/media/uploads/p/l/314931_6-nivea-soft-light-moisturiser-for-face-hand-body-non-sticky-cream-with-vitamin-e-jojoba-oil.jpg,Beauty & Hygiene,520.0,33
Magneed Complex High Absorption Mg - Muscle Recovery & Bone Strength,Healthvit,700.0,https://www.bigbasket.com/media/uploads/p/l/40218944_1-healthvit-magneed-complex-high-absorption-mg-muscle-recovery-bone-strength.jpg,Beauty & Hygiene,520.0,34
H2O Unbreakable Water Bottle - Blue,Cello,1236.0,https://www.bigbasket.com/media/uploads/p/l/1206863_1-cello-h2o-unbreakable-water-bottle-blue.jpg,"Kitchen, Garden & Pets",,35
"Imperial Beer Glass - New, R00219",Ocean,1499.0,https://www.bigbasket.com/media/uploads/p/l/40211707_1-ocean-imperial-beer-glass-new-r00219.jpg,"Kitchen, Garden & Pets",,36
Natural Soy Drink (Tetra Pak),Sofit ,105.0,https://www.bigbasket.com/media/uploads/p/l/1202893_3-sofit-natural-soy-drink-tetra-pak.jpg,"Bakery, Cakes & Dairy",30.0,37
Red Grape Drink,Quencha,350.0,https://www.bigbasket.com/media/uploads/p/l/40176532_4-quencha-red-grape-drink.jpg,Gourmet & World Food,,38
Ultra Sensual Deodorant,Wild Stone,315.0,https://www.bigbasket.com/media/uploads/p/l/40194965_2-wild-stone-ultra-sensual-deodorant.jpg,Beauty & Hygiene,520.0,39
20g Whey Protein Bar - Kesar Almond Fudge,GoodDiet,135.0,https://www.bigbasket.com/media/uploads/p/l/40183668_6-gooddiet-20g-whey-protein-bar-kesar-almond-fudge.jpg,Gourmet & World Food,,40
"Rover - Oval Shape Railing Planter, Red, Small",Klassic,439.0,https://www.bigbasket.com/media/uploads/p/l/40173178_5-klassic-rover-oval-shape-railing-planter-red-small.jpg,"Kitchen, Garden & Pets",,41
"Fan Brush For Makeup - Soft Bristles, Made By Experts",RENEE,499.0,https://www.bigbasket.com/media/uploads/p/l/40255975_1-renee-fan-brush-for-makeup-soft-bristles-made-by-experts.jpg,Beauty & Hygiene,520.0,42
Cold Pressed Olive Oil 225 ml + Onion Herbal Hair Growth Oil 220 ml,Soulflower,1000.0,https://www.bigbasket.com/media/uploads/p/l/1220812_1-soulflower-cold-pressed-olive-oil-225-ml-onion-herbal-hair-growth-oil-220-ml.jpg,Beauty & Hygiene,520.0,43
English Rose Deodorant For Women,Yardley London,450.0,https://www.bigbasket.com/media/uploads/p/l/1212831_1-yardley-london-english-rose-deodorant-for-women.jpg,Beauty & Hygiene,520.0,44
Anti-Bacterial Hand Sanitizer,Hygienix,100.0,https://www.bigbasket.com/media/uploads/p/l/1214329_1-hygienix-anti-bacterial-hand-sanitizer.jpg,Beauty & Hygiene,520.0,45
Stainless Steel Storage Container/Puri Dabba - No.9,BB Home,329.0,https://www.bigbasket.com/media/uploads/p/l/40183409_8-bb-home-stainless-steel-storage-containerpuri-dabba-no9.jpg,"Kitchen, Garden & Pets",,46
"Choco Body Butter - 72 Hrs Intense Non-Sticky Moisture, Reduces Stretch Marks, Heals Dry Skin",MCaffeine ,645.0,https://www.bigbasket.com/media/uploads/p/l/40193657_1-mcaffeine-naked-rich-deep-moisturizing-choco-body-butter.jpg,Beauty & Hygiene,520.0,47
Jaggery/Bella Round,BB Royal,100.0,https://www.bigbasket.com/media/uploads/p/l/10000489_11-bb-royal-jaggery-round.jpg,"Foodgrains, Oil & Masala",180.0,48
"Ceramic Plate With Serving Bowl - Moroccan Platter Pack, Hand-painted",ExclusiveLane,1235.0,https://www.bigbasket.com/media/uploads/p/l/40239048_1-exclusivelane-ceramic-plate-with-serving-bowl-moroccan-platter-pack-hand-painted.jpg,"Kitchen, Garden & Pets",,49
Charcoal Clean Toothpaste,Colgate,286.0,https://www.bigbasket.com/media/uploads/p/l/1208942_2-colgate-charcoal-clean-toothpaste.jpg,Beauty & Hygiene,520.0,50
"Itch No More Massage Oil - Reduces Itching, Soothes Flaky Skin, For Dogs",Papa Pawsome,599.0,https://www.bigbasket.com/media/uploads/p/l/40248972_1-papa-pawsome-itch-no-more-massage-oil-reduces-itching-soothes-flaky-skin-for-dogs.jpg,"Kitchen, Garden & Pets",,51
Nutrition Energy Bar - Pumpkin Seeds & Cranberries,GoodDiet,156.0,https://www.bigbasket.com/media/uploads/p/l/1205649_1-gooddiet-nutrition-energy-bar-pumpkin-seeds-cranberries.jpg,Snacks & Branded Foods,,52
Police To Be Tattooart Man Eau de Toilette 125ml,Police,3700.0,https://www.bigbasket.com/media/uploads/p/l/40260754_2-police-police-to-be-tattooart-man-eau-de-toilette-125ml.jpg,Beauty & Hygiene,520.0,53
"Stainless Steel Coffee Warmer - 3, With Bakelite Handle, Durable, Sturdy , Multipurpose",Omega,315.0,https://www.bigbasket.com/media/uploads/p/l/40244828_2-omega-stainless-steel-coffee-warmer-3-with-bakelite-handle-durable-sturdy-multipurpose.jpg,"Kitchen, Garden & Pets",,54
Compact Powder - Beige,Coloressence,250.0,https://www.bigbasket.com/media/uploads/p/l/40066939_2-coloressence-compact-powder-beige.jpg,Beauty & Hygiene,520.0,55
"Almond Butter - Unsweetened, Creamy, Rich In Antioxidant, Protein & Fibre, Lactose Free",Jus Amazin,1999.0,https://www.bigbasket.com/media/uploads/p/l/40237241_1-jus-amazin-almond-butter-unsweetened-creamy-rich-in-antioxidant-protein-fibre-lactose-free.jpg,Gourmet & World Food,,56
"Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews",GoodDiet,312.0,https://www.bigbasket.com/media/uploads/p/l/1205659_1-gooddiet-nutrition-energy-bar-gojiberry-blackcurrant-cashews.jpg,Snacks & Branded Foods,,57
"Organic Flaxseeds - Raw, Unroasted, Rich In Omega 3, Fibre, Calcium",5:15PM,395.0,https://www.bigbasket.com/media/uploads/p/l/40243801_1-515pm-organic-flaxseeds-raw-unroasted-rich-in-omega-3-fibre-calcium.jpg,Gourmet & World Food,,58
Fresh Fruit Massage Cream With Apple Papaya & Kukum Butter - Nourishes Skin,Vaadi,485.0,https://www.bigbasket.com/media/uploads/p/l/40239019_1-vaadi-fresh-fruit-massage-cream-with-apple-papaya-kukum-butter-nourishes-skin.jpg,Beauty & Hygiene,520.0,59
"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",Bio-Oil,980.0,https://www.bigbasket.com/media/uploads/p/l/1206066_2-bio-oil-specialist-skin-care-oil-scars-stretch-mark-ageing-uneven-skin-tone.jpg,Beauty & Hygiene,520.0,60
"Plastic Cloth Hangers - Brown, Elegance",Laplast,431.0,https://www.bigbasket.com/media/uploads/p/l/40178597_2-laplast-plastic-cloth-hangers-brown-elegance.jpg,"Kitchen, Garden & Pets",,61
"Mouthwash - Plax Pepper Mint, Alcohol Free, Imported",Colgate,300.0,https://www.bigbasket.com/media/uploads/p/l/1205556_2-colgate-mouthwash-plax-pepper-mint-alcohol-free-imported.jpg,Beauty & Hygiene,520.0,62
Cocoa Matcha Green Tea Powder - 100% Pure Japanese Ground,VAHDAM,699.0,https://www.bigbasket.com/media/uploads/p/l/40211491_1-vahdam-cocoa-matcha-green-tea-powder-100-pure-japanese-ground.jpg,Beverages,180.0,63
Kitchen Cleaning/Dusting Microfiber Cloth - G130061,Liao,589.0,https://www.bigbasket.com/media/uploads/p/l/40151525_1-liao-kitchen-cleaningdusting-microfiber-cloth-g130061.jpg,Cleaning & Household,730.0,64
Alkaline Battery Power AAA - Long Lasting Power,Energizer,180.0,https://www.bigbasket.com/media/uploads/p/l/1214631_1-energizer-alkaline-battery-power-aaa-long-lasting-power.jpg,"Kitchen, Garden & Pets",,65
"Bravocado Deep Cleansing Clay Mask - Controls Excess Oil, Blackheads & Acne, Soothes Skin",Quench Botanics,499.0,https://www.bigbasket.com/media/uploads/p/l/40241064_1-quench-botanics-bravocado-deep-cleansing-clay-mask-controls-excess-oil-blackheads-acne-soothes-skin.jpg,Beauty & Hygiene,520.0,66
Organic Jamun Honey,BB Royal,898.0,https://www.bigbasket.com/media/uploads/p/l/1213801_1-bb-royal-organic-jamun-honey.jpg,Snacks & Branded Foods,,67
Gold Face & Body Scrub For Deep Cleansing - Removes Dead Skin Cells,Nutriment,399.0,https://www.bigbasket.com/media/uploads/p/l/40258932_1-nutriment-gold-face-body-scrub-for-deep-cleansing-removes-dead-skin-cells.jpg,Beauty & Hygiene,520.0,68
Nuts & Seeds Bar - Dark Chocolate & Sea Salt,Monsoon Harvest,75.0,https://www.bigbasket.com/media/uploads/p/l/40194098_1-monsoon-harvest-nuts-seeds-bar-dark-chocolate-sea-salt.jpg,Gourmet & World Food,,69
Dry fruit Kachori,Tasties,109.0,https://www.bigbasket.com/media/uploads/p/l/40160402_3-tasties-dry-fruit-kachori.jpg,Snacks & Branded Foods,,70
Orgadyne Anti Dandruff Shampoo,Organic Harvest,845.0,https://www.bigbasket.com/media/uploads/p/l/40034215_3-organic-harvest-anti-dandruff-shampoo.jpg,Beauty & Hygiene,520.0,71
"Tiramisu Body Scrub - Cocoa Butter & Raw Brown Cane Sugar, Moisturising, Cleansing",Nyassa,249.0,https://www.bigbasket.com/media/uploads/p/l/40252540_2-nyassa-tiramisu-body-scrub-cocoa-butter-raw-brown-cane-sugar-moisturising-cleansing.jpg,Beauty & Hygiene,520.0,72
"Chicken Mixed - Boneless, Antibiotic Residue-Free, 6-10 pcs",Fresho,605.0,https://www.bigbasket.com/media/uploads/p/l/10001013_5-fresho-chicken-mixed-boneless-antibiotic-residue-free-6-10-pcs.jpg,"Eggs, Meat & Fish",60.0,73
Purifying Serum Men Face Sheet Mask,Skin Fx,749.0,https://www.bigbasket.com/media/uploads/p/l/40250757_1-skin-fx-purifying-serum-men-face-sheet-mask.jpg,Beauty & Hygiene,520.0,74
Whiteglow Intensive Skin Whitening & Brightening Serum + Moisturiser,Lotus Herbals,475.0,https://www.bigbasket.com/media/uploads/p/l/40052396_2-lotus-herbals-whiteglow-intensive-skin-whitening-brightening-serum-moisturiser.jpg,Beauty & Hygiene,520.0,75
Compact Powder - Ivory Beige,Coloressence,250.0,https://www.bigbasket.com/media/uploads/p/l/40066937_1-coloressence-compact-powder-ivory-beige.jpg,Beauty & Hygiene,520.0,76
"Loofah/Sponge Scrubber/Body Bath - Dual Side, Cream, Bh-070 Crm",BB Home,235.0,https://www.bigbasket.com/media/uploads/p/l/40185883_2-bb-home-loofahsponge-scrubberbody-bath-dual-side-cream-bh-070-crm.jpg,Beauty & Hygiene,520.0,77
Deo Spray - Speed for Men,Aramusk,200.0,https://www.bigbasket.com/media/uploads/p/l/100578497_8-aramusk-deo-spray-speed-for-men.jpg,Beauty & Hygiene,520.0,78
Pineapple Special Mouth Freshener - Helps Boost Immunity & Digestion,Delight Nuts,99.0,https://www.bigbasket.com/media/uploads/p/l/40225674_1-delight-nuts-pineapple-special-mouth-freshener-helps-boost-ilunity-digestion.jpg,"Foodgrains, Oil & Masala",180.0,79
"Nilgiris Green Tea - Anicca Chamomile, Helps To Relax & Calm",Teamonk,425.0,https://www.bigbasket.com/media/uploads/p/l/40136526_3-teamonk-nilgiris-green-tea-anicca-chamomile.jpg,Beverages,180.0,80
"Miniature Eau De Toilette Gift Pack - Ignite Fleur & Inizio Aqua Homme, For Men, Women",EDW Essenza,1499.0,https://www.bigbasket.com/media/uploads/p/l/40255025_1-essenza-di-wills-inizio-hole-aqua-ignite-fleur-eau-de-toilette-long-lasting-fragrance-gift-pack.jpg,Beauty & Hygiene,520.0,81
Age Miracle Wrinkle Corrector SPF 18 PA++ Day Cream,Ponds,825.0,https://www.bigbasket.com/media/uploads/p/l/302576_12-ponds-age-miracle-wrinkle-corrector-spf-18-pa-day-cream.jpg,Beauty & Hygiene,520.0,82
"Oil & Sebum Control, Anti-Stress Acne Repair Gel",Detoxie,495.0,https://www.bigbasket.com/media/uploads/p/l/40220067_1-detoxie-oil-sebum-control-anti-stress-acne-repair-gel.jpg,Beauty & Hygiene,520.0,83
Mad Angles - Achaari Masti,Bingo,60.0,https://www.bigbasket.com/media/uploads/p/l/1203987_6-bingo-mad-angles-achaari-masti.jpg,Snacks & Branded Foods,,84
"Seal IT Plastic Containers With Red Lid - For Storage, Air Tight, Microwave Safe",Jaypee Plus,655.0,https://www.bigbasket.com/media/uploads/p/l/40249321_2-jaypee-plus-seal-it-container-with-red-lid-for-storage-air-tight-microwave-safe.jpg,"Kitchen, Garden & Pets",,85
"Health Shampoo - Henna & Amla, For Problem Free Hair, 7 Satt Poshan",Dabur Vatika,445.0,https://www.bigbasket.com/media/uploads/p/l/40128588_5-dabur-vatika-health-shampoo-with-henna-amla-for-problem-free-hair.jpg,Beauty & Hygiene,520.0,86
"Plastic Cloth Hangers - Blue, Elegance",Laplast,431.0,https://www.bigbasket.com/media/uploads/p/l/40178596_2-laplast-plastic-cloth-hangers-blue-elegance.jpg,"Kitchen, Garden & Pets",,87
"Nilgiris White Tea - Sei, Provides Glowing Skin & Boosts Immunity",Teamonk,950.0,https://www.bigbasket.com/media/uploads/p/l/40208573_1-teamonk-nilgiris-white-tea-sei.jpg,Gourmet & World Food,,88
Rice - Idli 5 Kg + Urad Gota - Whole 2 Kg + Fried Gram/Bengal Gram 500 Gm,BB Royal,835.0,https://www.bigbasket.com/media/uploads/p/l/1204241_1-bb-royal-rice-idli-5-kg-urad-gota-whole-2-kg-fried-grambengal-gram-500-gm.jpg,"Foodgrains, Oil & Masala",180.0,89
Premium Cow Ghee/Tuppa,Natureland Organics,450.0,https://www.bigbasket.com/media/uploads/p/l/40195267_1-natureland-organics-premium-cow-ghee.jpg,"Foodgrains, Oil & Masala",180.0,90
Stainless Steel Tea/Sugar Container - Mirror Finish,Aagam,549.0,https://www.bigbasket.com/media/uploads/p/l/40179527_1-aagam-stainless-steel-teasugar-container-mirror-finish.jpg,"Kitchen, Garden & Pets",,91
Chicken Mixed Boneless,Fresho,193.0,https://www.bigbasket.com/media/uploads/p/l/10000925_7-fresho-chicken-mixed-boneless.jpg,"Eggs, Meat & Fish",60.0,92
"Rhymes - Eau De Parfume & Perfume Body Spray, Long Lasting Fragrance",RAMSONS ,560.0,https://www.bigbasket.com/media/uploads/p/l/40247457_1-ramsons-rhymes-eau-de-parfume-perfume-body-spray-long-lasting-fragrance.jpg,Beauty & Hygiene,520.0,93
"Blush & Glow - Green Apple Apricot Gel Scrub, Gentle On Skin, Deep Cleansing",Lakme,250.0,https://www.bigbasket.com/media/uploads/p/l/40224773_1-lakme-blush-glow-green-apple-apricot-gel-scrub-gentle-on-skin-deep-cleansing.jpg,Beauty & Hygiene,520.0,94
Omega Seed Mix,Nourish Organics,250.0,https://www.bigbasket.com/media/uploads/p/l/900448373_2-nourish-organics-omega-seed-mix.jpg,Gourmet & World Food,,95
"Suny Pencil Sharpener - Plastic, Assorted Shape & Color, BB1293AST",suny,309.0,https://www.bigbasket.com/media/uploads/p/l/40186654_2-suny-pencil-desktop-sharpener-plastic-car-shaped-bb1293blu-assorted-color.jpg,Cleaning & Household,730.0,96
Pink Salt Grinder,On1y,99.0,https://www.bigbasket.com/media/uploads/p/l/40007104_1-on1y-grinder-pink-salt.jpg,Gourmet & World Food,,97
"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",Quaker,199.0,https://www.bigbasket.com/media/uploads/p/l/208345_20-quaker-oats-breakfast-cereal-rich-in-protein-dietary-fibre-nutritious-easy-to-cook.jpg,Snacks & Branded Foods,,98
Mascara - Black Eyeconic Curling,Lakme,475.0,https://www.bigbasket.com/media/uploads/p/l/40001657_4-lakme-mascara-black-eyeconic-curling.jpg,Beauty & Hygiene,520.0,99
"Soft Touch Door Floor Mat/Rug - Durable, Easy To Wash, Bottle Green",Veriza,535.0,https://www.bigbasket.com/media/uploads/p/l/40235529_4-veriza-soft-touch-door-floor-matrug-durable-easy-to-wash-bottle-green.jpg,Cleaning & Household,730.0,100
"Mutton - Biryani Pieces, 20 To 26 pcs",Fresho,1458.0,https://www.bigbasket.com/media/uploads/p/l/10001020_4-fresho-mutton-biryani-pieces.jpg,"Eggs, Meat & Fish",60.0,101
"Munchies - For Dogs & Pups of All Breeds, Mixed",GLENAND,190.0,https://www.bigbasket.com/media/uploads/p/l/40012455_2-glenand-dog-munchies-mix.jpg,"Kitchen, Garden & Pets",,102
"Kolkata/Bengali Aar Ayre Fish - Small, Curry Cut",Fresho,1292.0,https://www.bigbasket.com/media/uploads/p/l/40087258_1-fresho-ayre-small.jpg,"Eggs, Meat & Fish",60.0,103
"Happy Birthday Foil Banner - With Glue Dot & String, Multicolour, Premium Quality, Durable",Hankley,639.0,https://www.bigbasket.com/media/uploads/p/l/40244230_1-hankley-happy-birthday-foil-banner-with-glue-dot-string-multicolour-premium-quality-durable.jpg,Cleaning & Household,730.0,104
Primer,Swiss Beauty,499.0,https://www.bigbasket.com/media/uploads/p/l/40205364_1-swiss-beauty-primer.jpg,Beauty & Hygiene,520.0,105
100% Pure Honey,BB Royal,450.0,https://www.bigbasket.com/media/uploads/p/l/40073726_9-bb-royal-100-pure-honey.jpg,Snacks & Branded Foods,,106
Ready To Drink Protein Milkshake - Cold Coffee,Raw Pressery,300.0,https://www.bigbasket.com/media/uploads/p/l/1213867_1-raw-pressery-protein-milkshake-cold-coffee.jpg,"Bakery, Cakes & Dairy",30.0,107
"Store Fresh Microwaveable Plastic Container Set - Transparent, Green, L5682C9-10",Princeware,325.0,https://www.bigbasket.com/media/uploads/p/l/40135635_2-princeware-store-fresh-microwaveable-plastic-container-set-transparent-green-l5682c9-10.jpg,"Kitchen, Garden & Pets",,108
"Dark Fantasy Chocolate Milkshake - With Real Belgian Chocolate, Thick & Creamy",Sunfeast,40.0,https://www.bigbasket.com/media/uploads/p/l/40211835_3-sunfeast-chocolate-shake-with-real-belgian-chocolate.jpg,"Bakery, Cakes & Dairy",30.0,109
Pure Skin Liquid Foundation,Iba,375.0,https://www.bigbasket.com/media/uploads/p/l/40195633_1-iba-pure-skin-liquid-foundation.jpg,Beauty & Hygiene,520.0,110
"Deodorant Body Spray - One Legend, Long Lasting Freshness, Dense Fragrance, For Men",Fogg ,275.0,https://www.bigbasket.com/media/uploads/p/l/40248612_1-fogg-deodorant-body-spray-one-legend-long-lasting-freshness-dense-fragrance-for-men.jpg,Beauty & Hygiene,520.0,111
Starlit Moisturising Lipstick - Liquid Fire,Biotique Natural Makeup,550.0,https://www.bigbasket.com/media/uploads/p/l/40192700_1-biotique-natural-makeup-starlit-moisturising-lipstick-liquid-fire.jpg,Beauty & Hygiene,520.0,112
"Stainless Steel Dal/Gravy Ladle - Big, Premium Gem Series, BBKT20",BB Home,199.0,https://www.bigbasket.com/media/uploads/p/l/40190876_9-bb-home-stainless-steel-dalgravy-ladle-big-premium-gem-series-bbkt20.jpg,"Kitchen, Garden & Pets",,113
"Finishing Touch - Facial Hair Remover, Pink Crystal",Flawless,2500.0,https://www.bigbasket.com/media/uploads/p/l/40226982_1-flawless-finishing-touch-facial-hair-remover-pink-crystal.jpg,Beauty & Hygiene,520.0,114
Soya Chunks,BB Royal,55.0,https://www.bigbasket.com/media/uploads/p/l/40073434_2-bb-royal-soya-chunks.jpg,"Foodgrains, Oil & Masala",180.0,115
"Sponge Scrubber - Kitchen, Double Sided",Liao,159.0,https://www.bigbasket.com/media/uploads/p/l/40113386_2-liao-sponge-scrubber-kitchen-double-sided.jpg,Cleaning & Household,730.0,116
Universal Multiplug Home/Travel Adapter With Built In Dual USB Charger Port - White,Spartan,999.0,https://www.bigbasket.com/media/uploads/p/l/40200083_4-spartan-universal-multiplug-hometravel-adapter-with-built-in-dual-usb-charger-port-white.jpg,"Kitchen, Garden & Pets",,117
"Premium Plastic Hanging Cloth Drying Clips - 2mm, Green",Trm,149.0,https://www.bigbasket.com/media/uploads/p/l/40223402_1-trm-premium-plastic-hanging-cloth-drying-clips-2l-green.jpg,Cleaning & Household,730.0,118
Indian Wheat Cracker - Ajwain Bhakhri,Daadis,80.0,https://www.bigbasket.com/media/uploads/p/l/40156938_5-daadis-bhakhri-ajwain.jpg,Snacks & Branded Foods,,119
